Image_ID,Area,Circularity,Aspect_Ratio,Solidity,Roundness,Hollowness,Reverse_Aspect_Ratio,Rectangularity,Feret_Major_Axis_Ratio,Feret_Minor_Axis_Ratio,Convex_Area_Feret_Ratio,Compactness,Area_Length_Ratio,Log_Height_Width_Ratio,Elongation,Perimeter_Broadness_Ratio,Length_Perimeter_Ratio,Modified_Circularity,Grum_Circularity,Area_Compactness,Equivalent_Perimeter_Ratio
1,8275.0,0.1135502196425978,1.2134614982681413,0.6661031956854222,0.6700274298161641,0.3338968043145778,0.8240887753152493,0.47167122663018696,1.1501087249963784,1.395612656605367,0.5972596153846154,0.2868840077352357,0.526238312803528,0.19347701784281324,0.0964378636968197,0.14412602365338015,0.131038171831746,0.23982882647138923,0.03037079617487824,0.5065412131097823,2.967604429800699
2,21411.0,0.15070862097319435,1.1020340916555944,0.6299947037015241,0.6301393125880984,0.37000529629847584,0.9074129444559126,0.4427053180051278,1.1616341163892134,1.2801603982911358,0.5821713659255199,0.4430802067711847,0.494910258791223,0.0971576464188105,0.04854064549221023,0.3696346109073228,0.15566855276816385,0.2652882268149008,0.030971043879232277,0.46697954524520485,2.575911583291771
3,23446.0,0.28218210688666545,1.0816668480947755,0.8404186680048749,0.8570166598893433,0.1595813319951251,0.9244990745176098,0.624826777529048,1.1414617485691168,1.2346813317955077,0.614696485623003,0.5502785637670656,0.6730993106781058,0.07850322921807643,0.03923146884407571,0.2514621511616447,0.18265023317270515,0.43082213205254466,0.07084424133045501,0.657758606717211,1.8825012104268934
4,21051.0,0.11100635335353187,1.269083151593246,0.7189549180327869,0.6174137107500162,0.2810450819672131,0.7879704326265535,0.47155145378791274,1.0768239047595218,1.3665790747631592,0.5816679248281618,0.46913167563424696,0.48491559447946603,0.23829471187574847,0.1185867302413788,0.4022345117070454,0.1349695843777395,0.24311814013747832,0.03236266419260246,0.5324598843064865,3.0014152305365305
5,27451.0,0.20741889435556726,1.10727701025267,0.686772910360011,0.7104904384065251,0.31322708963998896,0.9031163753429774,0.45361557274109326,1.1543951946685669,1.2782352598026594,0.6097136842747533,0.5360664635157502,0.5580178854359327,0.1019038575201827,0.05090788241447526,0.37996558803116354,0.17198681975228097,0.33254373172810275,0.0443239025965026,0.5331497588743376,2.195714361802809
6,26149.0,0.054277039047347,1.1156379184500034,0.6583664837101566,0.7023974318503745,0.3416335162898434,0.8963481640973056,0.4467776107162384,1.1708881676695522,1.3062872381165977,0.6111871970454721,0.512883264025552,0.5516616529503685,0.10942636548185246,0.05465865280705695,0.7216372751505669,0.08848440679087158,0.16675701560035283,0.021358768233442772,0.5123327053209167,4.2923183614067595
7,19792.0,0.21899159135160853,1.030629968102241,0.6820594113998208,0.6887861269310259,0.3179405886001792,0.9702803440126607,0.4283982683982684,1.2040940999644618,1.2409754638384698,0.5470552748661489,0.42967645217714545,0.5409713590652695,0.030170234795296253,0.015083973241499392,0.2765405549606149,0.17948231041501683,0.3225488419758951,0.03830884252025068,0.47507648498224764,2.1369102402811495
8,11435.0,0.1648963890946405,1.1272432345981815,0.7384565708750404,0.764211477513895,0.26154342912495965,0.8871199837863397,0.6277448397013614,1.160929306715069,1.3086497068413185,0.6030688943412392,0.356807547795016,0.6002102908866634,0.11977503661391528,0.05981602504530547,0.16170656991936808,0.14785939406319373,0.3057782395798429,0.04334595653530891,0.5670247378605984,2.4626031305197102
9,12424.0,0.10614584701289617,1.0837784879515735,0.6103660034389585,0.669969580626712,0.38963399656104153,0.9226977755298305,0.4304323725055432,1.2091766042158905,1.3104795917835161,0.5896240078790337,0.3343362545820844,0.5261928781563782,0.08045353522763772,0.04020508342704448,0.24514887572519722,0.12669926298385753,0.22054098505486694,0.02526416399922426,0.45822165876222876,3.0693647172047305
10,8896.0,0.12380476406058812,1.1502624467428617,0.6994260555075085,0.7029150110531983,0.30057394449249153,0.8693668152269493,0.5017201511477074,1.2624476648761225,1.4521461398852211,0.49524959115333694,0.2775558323839289,0.552068158705679,0.13999013089718768,0.0698809798638644,0.1489065196453673,0.13358798426514568,0.23367201524571354,0.025764562007895484,0.44103804181777145,2.842047430833878
